tyee index chinook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,7,9,4.82,7.95,1.32,9.57,4,0.96,0.94,3.32,3.37,1.23,1.87,3.82,5.73,3.77,0.93,10,72,4.35,1.55,0.94,5.37,1.23,1.88,1.55,1.45,1.15,4.55,1.43,3.48,2.76,6.52,6.67,3.35,5.97,5.66,4.39,1.88,10,3.68,2.83,9.16,1.46,6.55,1.17,5.05,2.02,5.74,6.89,10,6.28,7.88,4.14,11.06,3.97,5.35,3.63,6.56,,,,8,,72,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,1.9,2.66,1.79,1.57,3.64,0.3,2.31,1.62,3.53,4.12,5.82,0.77,N/A
72,7,10,0.48,2.06,2.02,7.67,4,3.8,4.02,3.36,0.63,0.47,1.57,4.06,3.43,2.71,3.3,10,72,2.56,5.69,2.83,4.29,1.22,1.34,1.52,2.91,1.38,0.92,5.02,2.5,2.11,7.91,8.39,6.51,4.62,11.11,1.23,3.78,10,8.01,6.34,8.98,3.22,6.94,3.4,5.32,1.84,4.12,7.42,10,5.83,6.78,5.23,9.18,4.45,4.62,2.53,10.84,,,,8,,72,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,0.99,3.13,2.43,3.13,1.16,0.9,3.23,3.05,2.49,1.81,5.45,2.86,N/A
72,7,11,1.98,7.98,3.42,8.08,4,6.15,1.73,5.12,2.31,3.23,1.22,2.73,3.66,2.78,2.08,10,72,3.09,2.49,0.92,4.64,2.06,1.38,3.69,1.94,0.31,4.28,1.24,1.7,4.58,9.54,7.9,5.49,7.43,3.77,2.7,2.43,10,6.74,3.69,6.66,1.76,10.62,1.2,4.32,3.32,1.33,10.41,10,6.33,7.81,7.66,6.58,6.51,6.65,4.19,4.32,,,,8,,72,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46,2.2,2.93,1.47,2.36,1.18,1.2,2.46,1.21,4.25,3.23,2.75,0.3,N/A
72,7,12,4.05,5.74,3.38,6.61,4,1.83,0.66,3.7,1.38,2,2.18,3.82,0,7.67,7.69,10,72,2.16,2.51,0.47,5.79,4.43,0.92,4.57,1.68,1.19,5.65,1.81,2.85,2.08,4.49,9.13,5.66,8.49,6.02,1.17,1.77,10,4.97,7.28,2.98,2.06,4.27,1.8,3,2.99,3.18,7.4,10,5.06,7.91,5.91,5.59,5.82,4.15,2.83,4.61,,,,8,,72,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,4.06,2.34,2.52,1.99,0.19,1.5,2.59,0.8,4.19,1.78,3.79,2.3,N/A
72,7,13,3.4,5.54,4.7,4.92,4,2.69,0.63,3.7,3.11,1.87,2.2,4.9,4.84,4.37,4.71,10,72,0.83,1.47,1.44,4.63,2.48,3.66,0.94,1.76,0.31,4.38,3.58,0.83,1.26,3.98,3.37,8.36,6.42,5.27,3.58,1.49,10,5.86,6.07,4.5,0.62,2.68,0.91,2.55,1.56,3.72,9.09,10,3.44,6.17,3.64,10,3.56,3.66,1.43,3.98,,,,8,,72,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,2.67,1.99,2.15,2.11,0.97,1.72,1.73,4.3,1.77,1.5,3.28,1.12,N/A
72,7,14,3.97,2.24,1.58,5.88,4,3.97,1.74,2.17,2.7,2.88,1.52,3.52,9.26,7.38,5.5,10,72,2.6,3.6,3.08,2.42,2.15,2.1,5.56,1.46,1.2,5.66,2.14,0.92,0.56,3.95,6.94,1.9,7.56,5.6,2.79,6.26,10,7.21,9.14,2.77,0.6,1.8,4.72,1.9,0.91,4.55,5.27,10,6.35,3.4,4.61,7.17,3.98,2.63,4.22,3.79,,,,8,,72,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,2.37,3.19,2.96,3.94,1.38,0.97,1.88,2.76,2.91,2.92,5.46,2.45,N/A
73,7,15,0,0.44,0.92,7.55,4,3.75,2.89,4.24,2.15,5.92,2.11,2.12,7.9,9.46,3.26,10,73,0.29,4.78,4.34,3.78,2.3,2.4,2.22,0.6,1.46,3.05,4.04,1.21,2.3,3.32,6.47,2.46,5.22,7.38,3.35,5.82,10,5.19,1.8,1.8,2.38,2.54,2.44,1.28,2.3,2.1,12.52,10,4.19,6.13,4.84,5.11,3.07,2.51,5.44,5.43,,,,8,,73,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,1.22,2.48,0.76,3.9,1.11,0.99,3.46,3.14,1.36,2.51,4.55,1.74,N/A
73,7,16,4.8,2.08,0.55,6.73,4,2.2,2.08,2.93,3.12,3.27,1.58,4.9,5.58,4.55,3.65,10,73,1.88,3.99,5.45,3.3,2.15,3.33,3.07,4.42,0.87,3.98,0,0,1.32,1.65,4.93,2.33,7.08,5.59,6.88,3.29,10,2.47,2.12,7.53,2.54,2.38,1.5,1.35,2.46,3.7,9.3,10,2.12,6.01,3.44,7.41,3.65,3.87,3.25,5.79,,,,8,,73,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,1.63,2.26,0.88,2.84,0.81,0.59,4.16,1.75,1.38,1.59,3.66,1.48,N/A
73,7,17,6.98,0.93,0.89,9.98,4,1,1.22,2.86,4.56,2.15,1.04,3.23,5.09,2.4,1.77,10,73,1.13,2.79,2.95,1.64,0.94,6,2.42,4,1.31,1.19,1,0,0.74,0.56,0.9,3.87,4.12,4.07,2.4,3,10,3.78,3.88,3.93,2.27,2.15,2.01,2.21,1.53,1.51,3.44,10,5.63,6.56,3.25,5.32,1.95,2.76,2.49,7,,,,8,,73,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,2.79,2.96,1.64,3.55,1.93,1.28,2.6,2.07,1.55,2.12,5.07,0.83,N/A
73,7,18,6.13,2.2,4.14,5.07,4,3.81,0.32,2.17,6.37,5.64,3.4,1.97,4.12,0.23,3.52,10,73,2.65,2.22,0.92,2.57,3.1,6.98,1.77,4.02,1.33,3.61,1.82,0.88,3.94,1.15,5.01,3.1,3.19,1.97,0.3,2.66,10,6.19,2.03,1.95,0.9,1.79,0.27,4.89,1.5,4.27,1.71,10,6.3,5.08,1.86,3.99,4.35,3.34,4.55,4.01,,,,8,,73,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,2.35,2.26,0.89,2.54,0.8,1.12,1.49,0.91,1.17,1.78,5.48,1.11,N/A
73,7,19,8.35,1.13,2.91,8.65,4,3.61,0,4.86,2.83,4.05,3.16,2.66,0.93,2.24,2.15,10,73,0.9,2.16,1.05,0,3.16,4.41,4.11,1.86,0.74,4.57,3.47,1.32,2.53,1.46,2.02,1.66,4.68,1.53,0.61,2.9,10,3.98,1.15,1.41,0.47,3.52,2.09,1.73,1.23,2.72,4.35,10,2.34,2.66,4.96,4.82,3.53,3.17,3.13,3.03,,,,8,,73,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.99,0.9,0.53,1.46,3.42,0.88,2.84,3.76,2.39,2.15,1.79,0.27,N/A
73,7,20,4.87,3.68,2.18,3.91,4,4.75,0.6,1.6,3.17,4.2,2.07,1.78,1.58,1.45,1.45,10,73,1.37,2.84,1.65,1.18,0.48,2.88,2.08,1.21,0.55,1.5,1.12,1.73,1.31,1.72,3.17,0.82,4.06,1.35,0.91,1.35,10,2.48,0.62,0.9,1.86,2.46,0.27,2.68,2.27,3.37,3.06,10,2.85,4.96,3.44,2.68,3.31,2.5,2.05,3.93,,,,8,,73,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,2.01,1.5,0.83,3.05,2.61,0.76,2.74,5.5,2.87,2.72,2.03,0.84,N/A
73,7,21,5.6,3.08,4.16,1.43,4,3.29,0.51,3.89,9.17,0.92,3.19,2.36,1.91,0.33,1.19,10,73,1.8,1.73,0.59,2,4.32,3.23,3.37,4.04,0.45,0.88,0.6,0.88,0.83,1.88,2.45,1.55,0.93,1.66,1.47,2.6,10,5.51,2.01,1.77,2.33,2.42,0.58,1.59,2.11,3.81,3.67,10,1.72,4.44,3.82,3.24,5.03,2.45,2.15,3.67,,,,8,,73,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,4.23,1.15,2.55,2.38,2.06,1.66,2.37,2.63,0.58,0.98,1.45,0.6,N/A
74,7,22,8.02,3.28,2.68,4.77,4,3.9,0.49,2.27,4.46,2.06,1.62,4.25,5.23,0.59,0,10,74,2.09,0.57,1.81,0.56,4.45,0.62,3.57,0.57,1.33,2.42,0.69,1.43,0.86,0.84,0.89,1.06,2.33,2.3,0.9,2.21,10,0.44,1.13,1.23,1.75,2.06,1.42,0.88,2.06,1.73,2.04,10,2.37,3.31,2.61,5.02,3.32,2.32,1.82,2.2,,,,8,,74,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,1.57,0.82,2.01,2.66,1.03,0.88,1.03,1.82,1.71,0.58,1.18,0,N/A
74,7,23,6.92,1.15,2.09,1.78,4,2.41,0.26,2.68,3.55,1.54,1.84,5.17,4.23,0,0.61,10,74,1.19,0.87,0,0.59,1.49,1.35,2.35,0.95,2.98,2.57,1.17,0,0.44,0,1.21,1.07,1.79,1.99,2.59,0.27,10,0.9,0,1.67,2.04,1.69,1.63,0.31,0.4,2.66,4.7,10,1.78,1.17,2.43,2.11,1.65,4.29,1.27,2.87,,,,8,,74,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,1.16,1.47,2.05,3.25,0,1.69,1.9,2.4,1.12,1.42,1.33,0.57,N/A
74,7,24,4.49,3.64,2.19,2.5,4,2.79,2.35,1.24,2.86,0.87,0.63,5.36,1.41,1.19,0.6,10,74,0.89,1.77,1.92,0.59,1.79,1.35,3.61,0.25,0.56,1.35,1.19,0,1.48,1.24,1.67,0.3,1.31,1.31,0.88,1.57,10,0,0.28,1.94,1.12,1.7,1.95,1.65,1.73,3.16,3.43,10,0.69,2.45,2.65,3.01,2.41,2.46,1.39,2.88,,,,8,,74,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,1.08,0.86,1.66,1.24,1.18,1.3,1.74,2.75,1.93,1.14,2.1,2.36,N/A
74,7,25,7.12,4.2,3.26,5.17,4,2.37,0.6,1.39,2.85,4.73,0.87,2.95,1.08,1.33,2.37,10,74,2.67,0.72,0.92,1.7,0.74,1.64,2.14,0.28,0.29,0.91,1.03,0.3,0.86,0.76,0.85,0.61,0.83,1.63,3.06,0.86,10,1.34,1.47,0.53,0.94,0.92,0.3,1.38,1.85,0.44,2.54,10,0.72,1.75,3.11,3.77,2.67,2.37,1.41,4.04,,,,8,,74,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.4,0.86,0.74,2.48,2.31,1.41,1.08,0.6,3.02,2.29,1.36,0.65,N/A
74,7,26,3.13,2.06,0.79,2.89,4,0.44,0.63,0.71,2.77,2.87,0.6,0.83,0.59,0,1.59,10,74,1.44,0.18,1.38,0.57,0.31,0.9,2.19,0.56,0.91,0.43,1.83,0.62,1.18,0,1.13,1.69,1.35,0.83,1.81,1.01,10,1.15,1.32,0.54,0.32,1.35,0,0.56,1.21,0,2.25,10,1.16,1.94,1.94,2.7,2.64,2.46,2.33,2.81,,,,8,,74,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,0.71,1.07,1.06,4.85,1.54,0.57,1.75,2.25,1.47,0.85,1.14,0.93,N/A
74,7,27,1.96,0.42,3.43,2.89,4,0.29,0,1.3,4.83,2.04,0,0.88,0.6,0,1.44,10,74,3.11,0,0.46,1.5,1.2,5.18,0,0.29,1.15,0.43,2.25,0,1.22,0.44,0.9,1.79,1.26,0.44,3.71,0.7,10,0.87,0.75,1.78,1.34,0.61,0.91,1.4,0.31,2.06,3.94,10,1.63,0.48,2.46,2.52,2.72,1.56,2,1.34,,,,8,,74,7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.36,0.79,2.26,2.22,1.06,0,1.29,0.37,0.92,1.39,2.88,0.25,N/A
74,7,28,1.92,1.22,1.26,5.77,4,0.87,0.46,1.59,1.94,1.43,1.2,0.28,1.79,0.94,0.27,10,74,0.3,0.3,0.83,2.92,1.74,1.47,1.85,0.58,0,1.5,2.64,0,0.31,0,0,1.19,0.88,0.88,1.42,0.28,10,0.49,1.29,0,1.2,1.08,0.83,0.81,1.27,1.07,1.29,10,1.65,0.71,1.59,2.23,3.64,0.55,1.79,1.06,,,,8,,74,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.72,0.9,2.09,2.13,0.72,1.04,1.09,1.93,1.09,0.83,1.26,1.28,N/A
75,7,29,1.52,0.6,0,0.54,4,0.56,0,0.3,0.37,1.23,0,0.56,0.3,0.95,0.6,10,75,3.03,0.58,1.28,0.87,0.96,3.81,0.89,1.12,0.59,2.43,0.46,0.84,0,1.17,0.9,0.47,0.6,1.3,3.94,2.2,10,0.31,0.9,0,1.7,1.93,2.02,0.86,0.82,0,1.83,10,0,2.61,1.83,2.09,1.37,1.58,2.49,2.04,,,,8,,75,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.47,0.36,0.82,3.24,0.89,0.39,1,1.53,2.02,0.92,0.7,0.54,N/A
75,7,30,1.37,0.75,2.19,0.69,4,1.67,0,0,1.69,3,0.9,0.69,0,0.93,1.38,10,75,2.92,0.56,1.46,1.3,0,1.21,1.57,0.45,1.17,0,1.78,0.58,0.42,0.27,0.9,0.57,0.95,0.77,1.21,1,10,0.6,0,0.9,1.18,2.36,2.08,0.79,0.25,0.56,2.2,10,1.69,1.05,1.94,1.66,1.35,2.29,2.2,1.24,,,,8,,75,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,1.06,0,1.61,2.99,1.16,0.76,0.96,1.16,0.92,0.74,0.94,0.19,N/A
75,7,31,0,1.22,1.21,0,4,0.62,0.27,0,0.96,0.61,0.43,2.28,0,0.63,2.71,10,75,1.17,0.86,1.4,0.47,0.57,0.35,0.27,1.98,0,0.31,2.08,0.48,0,0,1.38,0.42,1.28,1.17,2.22,0.77,10,0.82,0.31,0.9,2.11,0.31,0,1.7,1.35,0.28,1.74,10,0.66,1.93,1.8,2.79,1.24,1.8,1.66,1.78,,,,8,,75,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.07,0.51,0.68,1.13,1.36,0,0.55,0.3,0.4,0.34,0.65,0.3,N/A
75,8,1,0.24,0.3,0,0.51,4,0.64,0.56,0,0.3,0.28,0,0.39,0,0.34,1.2,10,75,1.99,0.53,1.13,0.86,0.3,1.08,0.9,1.3,0.58,0.59,0,0.41,0,0.28,0.58,1.25,1.94,0.52,1.63,2.29,10,0.59,0.56,0.85,2.28,1.16,0.26,0.44,0.84,0.65,4.89,10,2.19,0.24,1.4,1.44,1.99,2.85,1.25,3.15,,,,8,,75,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,0.79,0.18,0.36,2.35,1.44,0.86,1.09,1.33,0.53,0.5,0.52,1.3,N/A
75,8,2,0,0.28,1.42,1.02,4,0,0,0,0.58,0,0.62,2.21,0.28,0,0.87,10,75,1.73,0.57,0.71,0,0,0.4,0.69,0,0,0.57,0.9,0,0,0,0,2.65,1.6,0.26,0.31,0.38,10,0.61,0,0,3.5,0.6,0,0.73,0.89,1.11,2.22,10,1.82,1.21,0.37,0.88,1.01,1.69,0.75,1.94,,,,8,,75,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,0.79,0.73,0.6,2.45,2.16,0.35,0,1.96,0.52,0,1.23,0.26,N/A
75,8,3,0,1.29,1.2,1.05,4,0.48,0,0.7,0,0.4,1.03,1.7,0.62,0.6,0.86,10,75,0,0,0.52,1.32,1.15,0.44,0,0.31,0,0.81,1.33,0,0,0,0.78,2.06,0.26,0.3,1.16,1.56,10,0.5,0,0.54,1.79,0.63,0.29,0.83,0.89,0.56,0.57,10,1.3,0.41,0.17,0.33,1.79,1.78,0.74,1.45,,,,8,,75,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,2.36,0,0.15,1.06,1.26,0.53,0.39,0.83,0.26,0,0.28,0.27,N/A
75,8,4,0.61,1.5,0.58,2.68,4,1.23,0.29,0,0,0.3,0.29,0.46,0.59,0,0.54,10,75,0,0.82,0,0,1.74,0.88,0.31,0,0,0.28,0.7,0.4,0.43,0.54,0.57,1.28,0,0.39,0.58,0.92,10,0,0.59,0,2.18,0.9,0,0.27,0.84,0,1.43,10,0.28,1.73,1.23,0.48,2.07,1.04,0.51,1.53,,,,8,,75,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.31,0,0,1.66,2.89,0.35,0.96,0.85,0.52,0.59,0.65,1.11,N/A
81,8,5,0.6,0,0,0.79,4,0.29,0,0,0.28,0.31,1.11,0.34,0.29,0.58,0.37,10,81,0.41,0.26,0.28,0.29,0.47,0.58,0,0,0.43,0.63,1.12,0,0.46,0.82,0.21,0.31,0,0,0.29,0,10,0,0.62,0,0,0.62,1.87,0.55,0,0.58,0.25,10,0,1.2,0.8,0.47,1.32,2,0.93,0.85,,,,8,,81,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.73,0.82,0,1.4,1.15,0.67,0.55,0.18,0,0.19,0,0.26,N/A
81,8,6,0,0,0.3,0,4,0.61,0,0,0,0.6,0.8,0.82,0.92,0.3,0.6,10,81,0.56,0,0,0.37,0.45,0,0.59,0,0.47,0.29,3.89,0.32,0,0.27,0.28,0.31,0.4,0,0.88,0.27,10,0,0,0,0.74,0,0.53,0.29,0,0.3,0,10,0,0.42,0.34,1.23,0.66,2.84,1.21,0.58,,,,8,,81,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,1.37,0.8,0.53,1.56,0.3,1.3,0.58,0.54,0.55,0.2,0,0.29,N/A
81,8,7,0.7,0,0,0,4,0.83,0,0,0.48,0,0.42,0.29,0.83,0.32,0,10,81,0.29,0.96,0.59,0,0.42,1.57,0.3,0,0.61,0.29,0.3,0,0.43,0,0.56,0,0,0.81,0,1.29,10,0,0.81,0,0,1.69,0,0,0,1.73,0.23,10,0.3,1.43,0.8,0.66,0.45,1.28,0.69,1.35,,,,8,,81,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.76,0.28,0.19,1.74,1.34,0,0.59,0.17,0.27,0.57,0,0.16,N/A
81,8,8,0,0,0,0,4,0.47,0,0,0,1.28,0,0.59,0,0.3,0.28,10,81,0.49,0,0.28,0.25,0,0.42,0,0.26,0,0.91,0,0,0,0,0,0.26,0,0.41,0.29,0.79,10,0,0.29,0,0,0.42,0.81,0.3,0.57,1.6,0.51,10,0.36,0.77,0.51,0.51,0.56,1.24,0.57,0.69,,,,8,,81,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.2,0.29,0.19,1.37,0,0.29,0.35,0.26,0,0.29,0.53,0.17,N/A
81,8,9,0,0.91,0,0.39,4,0.45,0,0,0.6,0,0.23,0,0,0,0,10,81,0.24,0,0,0.25,0.25,1,0,0,0.29,0,0,0,0,0,0,0.31,0,0,0,0.28,10,0,0.43,0,0.56,0,0.27,0,0.59,0.89,0.83,10,0.5,0,0.56,0.65,0.35,0.99,0.28,0.34,,,,8,,81,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.19,0,0,1.08,0.2,0,0,0.37,0.51,0.3,0.16,0,N/A
81,8,10,0.32,0,0.44,0,4,0,0,0,0,0.47,0,0.38,0.63,0,0.58,10,81,0.27,0,0,0.52,0.29,0,0.44,0.28,0.29,0,0,0.31,0.29,0,0,0.26,0,0,0.26,0.28,10,0,1.49,0.28,0.58,0.47,0,0,0,0,0,10,0.22,0.27,0.53,0.25,0,0.73,0.76,0.72,,,,8,,81,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.2,0,0,0.94,0.18,0,0.28,0.54,0,0,0.71,0.84,N/A
81,8,11,0,0,0.56,0,4,0,0,0,0.3,0,0,0,0,0.93,0,10,81,0,0,0,0.28,0.69,0,0.41,0.29,0,0.87,0,0,0,0,0.39,0.48,0,0.91,0,0,10,0,0,0,0.59,0.86,0,0,0.59,0,0,10,0.69,0,0.46,0.69,0.5,0.17,0.79,0.29,,,,8,,81,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0,0.59,0.24,1.14,0.84,0.5,0,0.79,0,0.6,0,0,N/A
82,8,12,0,0,0,0,4,0.6,0,0.29,0,0,0,0,0,0,0.35,10,82,0,0,1.25,0.6,0.41,0.92,0,0.43,0,0,0.41,0,0,0.31,0,0,0,0,0.41,0.31,10,0,0,0,0.57,1.85,0.74,0,0,0,0.41,10,0.86,0,0.69,0.51,0.86,0.57,0.54,1.38,,,,8,,82,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.29,0.56,0.79,0.57,0,0.29,0,0.2,0,0.29,0,0,N/A
82,8,13,0,0,0,0,4,0.31,0,0.29,0,0.29,0.45,0,0,0,0,10,82,0,0.32,0.43,0,0,1.46,0,0,0,0,0,0,0.28,0,0,0.25,0,0,1.11,0.31,10,0,0.37,0,0.3,0,0.75,0,0.31,0.29,1.21,10,0,0,0.64,0.75,0.26,0.2,1.26,1.38,,,,8,,82,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.2,0,0,0.83,0.18,0,0.59,0.3,0,0,0,0.18,N/A
82,8,14,0,0,0.66,0,4,0.31,0,0,0,0,0,0.29,0,0,0.43,10,82,0,0.31,0.27,0.42,0.28,0,0.29,0.41,0.74,0,0.48,0,0,0.31,0,0,0,0,0,0,10,0,0.3,0,0,0,0,0,0,0,0.39,10,0.41,0,0.47,0.45,0.26,0.26,0.32,0.26,,,,8,,82,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.2,0,0,1.15,0.19,0,0.3,0.29,0,0,0.29,0,N/A
82,8,15,0,0,0,0.67,4,0,0,0,0,0.27,0,0.31,1.2,0,0,10,82,0,0.59,0,0,0,0,0,0,0,0,0,0.45,0,0,0.56,0.45,0,0,0,0,10,0.22,0,0,0.59,0,0.24,0,0,0,0.86,10,0.42,0,0.14,0.46,0.25,0.35,0.2,0.29,,,,8,,82,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.28,0.3,0,0.82,0.38,0,0,0,0,0,0.3,0,N/A
82,8,16,0,0,0.83,0,4,0,0,0,0,0,0,0,0,0,0,10,82,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.44,10,0,0,0.43,0,1.2,0,0,0,0,0,10,0,0.56,0,0.24,0.56,0.35,0.29,0,,,,8,,82,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.3,0,0,0,0,0,0,0,N/A
82,8,17,0,0,0.41,0.31,4,0,0.31,0,0,0,0,0.47,0,0,0,10,82,0.41,0,0,0,0.48,0.27,0.31,0,0.62,0.31,0,0,0,0,0,0,0,0,0.29,0.84,10,0,0,0,0.93,0,0,0,0,0.59,0,10,0,0.31,0,0,0,0.37,0.27,0.81,,,,8,,82,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0,0,0,1.12,0,0.19,0,0,0,0,0,0,N/A
82,8,18,0,0,0,0,4,0,0,0,0.45,0.31,0,0,0,0,0,10,82,0,0,0,0,0.45,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0.3,0.41,10,0,0,0,0.46,0.93,0.28,0.43,0,0,0,10,0,0,0.36,0,0.93,0,0,0.56,,,,8,,82,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0,0.2,0.24,0.56,0.27,0.2,0,0,0.3,0.2,0,1.04,N/A
83,8,19,0,0,0.32,0,4,0,0,0.79,0,0,0,0,0,0,0.83,10,83,0,0,0,0,0,0.28,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0.42,10,0,0,0.31,0.44,0,0,0.28,0,0.6,0,10,0,0,0,0.19,0,0,0.16,0.19,,,,8,,83,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.52,0.26,0.56,0.2,0.28,0,0,0,0,N/A
83,8,20,0,0,0.63,0,4,0,0,0,0,0,0,0,0,0,0,10,83,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,10,0,0,0,0.47,0,0.29,0.28,0,0,0,10,0,0,0.28,0.29,0,0.27,0.17,0.37,,,,8,,83,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.17,1.3,0,0,0,0,0.3,0,0,0.28,N/A
83,8,21,0,0,0,0,4,0,0,0,0,0.63,0,0,0,0,0,10,83,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.9,0,10,0,0,0,0,0,0.56,0.39,0.34,,,,8,,83,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.16,0.19,0,0.58,0,0,0,0,0,0,N/A
