date,nation,sockeye
2025-07-11,Lax Kw'alaams,680
2025-07-20,Lax Kw'alaams,491
2025-07-10,NCSFNSS,2152
2025-07-20,NCSFNSS,1038
2025-07-10,Metlakatla,406
2025-07-20,Metlakatla,1017
2025-07-28,Metlakatla,468
2025-07-28,NCSFNSS,2284
2025-08-04,Kitsumkalum,1509
2025-08-15,Gitksan,372
2025-08-16,Gitksan,212
2025-08-17,Gitksan,141
2025-08-18,Gitksan,0
2025-08-19,Gitksan,311
2025-08-20,Gitksan,377
2025-08-21,Gitksan,267
2025-08-22,Gitksan,42
2025-08-23,Gitksan,0
2025-08-24,Gitksan,0
2025-08-30,Gitksan,540
2025-09-03,Gitksan,671
2025-09-04,Gitksan,289