Date,Large Sockeye,Jack Sockeye,Coho,Pink,Large Chinook,Jack Chinook,Steelhead,Char,sockeyemorts,fscharvest,jackharvest,commharvest
2025-07-15,1,0,0,0,0,0,0,0,0,0,0,0
2025-07-16,6,0,0,0,0,0,0,0,0,0,0,0
2025-07-17,5,0,0,0,0,0,0,0,0,0,0,0
2025-07-18,16,0,0,0,0,0,0,0,1,0,0,0
2025-07-19,35,0,0,0,0,0,0,0,0,0,0,0
2025-07-20,24,0,0,0,0,0,0,0,0,0,0,0
2025-07-21,176,3,0,0,0,0,0,0,0,0,0,0
2025-07-22,438,0,0,0,0,0,0,0,0,0,0,0
2025-07-23,909,1,0,0,0,0,0,0,6,0,0,0
2025-07-24,5525,24,0,0,1,0,0,3,1,0,0,0
2025-07-25,8752,13,0,0,0,0,0,0,0,0,0,0
2025-07-26,20145,91,1,0,1,0,0,0,0,0,0,0
2025-07-27,27517,514,0,0,0,0,0,0,0,0,0,0
2025-07-28,15348,152,0,0,1,10,0,0,1,0,0,0
2025-07-29,15784,341,0,1,0,1,0,0,0,0,0,0
2025-07-30,25301,395,0,5,0,4,0,0,0,0,0,0
2025-07-31,20897,387,0,28,0,3,0,0,1,0,0,0
2025-08-01,21970,556,0,147,3,15,0,0,4,0,0,0
2025-08-02,21753,437,1,560,9,10,0,0,2,0,0,0
2025-08-03,23049,451,3,498,16,14,0,0,2,0,0,0
2025-08-04,21060,461,0,942,19,5,0,0,0,0,0,0
2025-08-05,28324,457,0,1230,8,12,0,0,0,0,0,0
2025-08-06,37716,710,0,2741,25,11,0,0,0,0,0,0
2025-08-07,34150,722,14,5374,33,29,0,0,0,0,0,0
2025-08-08,35619,760,5,7230,24,36,0,1,0,0,0,0
2025-08-09,34768,572,4,4088,15,50,0,0,0,0,0,0
2025-08-10,29119,491,0,2407,8,44,0,0,0,0,0,0
2025-08-11,32963,527,26,2728,9,49,0,0,0,0,0,0
2025-08-12,43628,748,22,4532,6,40,0,0,0,0,0,0
2025-08-13,32862,610,3,3289,3,30,10,6,0,0,0,0
2025-08-14,17593,474,4,2696,15,13,7,0,0,0,0,0
2025-08-15,30103,993,0,3134,6,26,0,0,0,0,0,0
2025-08-16,21631,740,5,2385,8,6,4,0,0,1297,0,0
2025-08-17,9683,248,1,1050,0,5,0,0,0,1070,0,0
2025-08-18,4505,113,4,303,1,2,0,0,0,1100,0,0